0xC0A3,DHE-RSA-AES256-CCM8,TLS_DHE_RSA_WITH_AES_256_CCM_8,TLSv1.2,DH,RSA,AESCCM8(256),AEAD,
0xC09F,DHE-RSA-AES256-CCM,TLS_DHE_RSA_WITH_AES_256_CCM,TLSv1.2,DH,RSA,AESCCM(256),AEAD,
0x006B,DHE-RSA-AES256-SHA256,TLS_DHE_RSA_WITH_AES_256_CBC_SHA256,TLSv1.2,DH,RSA,AES(256),SHA256,
0x006A,DHE-DSS-AES256-SHA256,TLS_DHE_DSS_WITH_AES_256_CBC_SHA256,TLSv1.2,DH,DSS,AES(256),SHA256,
0x0069,DH-RSA-AES256-SHA256,TLS_DH_RSA_WITH_AES_256_CBC_SHA256,TLSv1.2,DH/RSA,DH,AES(256),SHA256,
0x0068,DH-DSS-AES256-SHA256,TLS_DH_DSS_WITH_AES_256_CBC_SHA256,TLSv1.2,DH/DSS,DH,AES(256),SHA256,
0x0039,DHE-RSA-AES256-SHA,TLS_DHE_RSA_WITH_AES_256_CBC_SHA,SSLv3,DH,RSA,AES(256),SHA1,
0x0038,DHE-DSS-AES256-SHA,TLS_DHE_DSS_WITH_AES_256_CBC_SHA,SSLv3,DH,DSS,AES(256),SHA1,
0x0037,DH-RSA-AES256-SHA,TLS_DH_RSA_WITH_AES_256_CBC_SHA,SSLv3,DH/RSA,DH,AES(256),SHA1,
0x0036,DH-DSS-AES256-SHA,TLS_DH_DSS_WITH_AES_256_CBC_SHA,SSLv3,DH/DSS,DH,AES(256),SHA1,
0xC077,ECDHE-RSA-CAMELLIA256-SHA384,TLS_ECDHE_RSA_WITH_CAMELLIA_256_CBC_SHA384,TLSv1.2,ECDH,RSA,Camellia(256),SHA384,
0xC073,ECDHE-ECDSA-CAMELLIA256-SHA384,TLS_ECDHE_ECDSA_WITH_CAMELLIA_256_CBC_SHA384,TLSv1.2,ECDH,ECDSA,Camellia(256),SHA384,
0x00C4,DHE-RSA-CAMELLIA256-SHA256,TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA256,TLSv1.2,DH,RSA,Camellia(256),SHA256,
0x00C3,DHE-DSS-CAMELLIA256-SHA256,TLS_DHE_DSS_WITH_CAMELLIA_256_CBC_SHA256,TLSv1.2,DH,DSS,Camellia(256),SHA256,
0x00C2,DH-RSA-CAMELLIA256-SHA256,TLS_DH_RSA_WITH_CAMELLIA_256_CBC_SHA256,TLSv1.2,DH/RSA,DH,Camellia(256),SHA256,
0x00C1,DH-DSS-CAMELLIA256-SHA256,TLS_DH_DSS_WITH_CAMELLIA_256_CBC_SHA256,TLSv1.2,DH/DSS,DH,Camellia(256),SHA256,
0x0088,DHE-RSA-CAMELLIA256-SHA,TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA,SSLv3,DH,RSA,Camellia(256),SHA1,
0x0087,DHE-DSS-CAMELLIA256-SHA,TLS_DHE_DSS_WITH_CAMELLIA_256_CBC_SHA,SSLv3,DH,DSS,Camellia(256),SHA1,
0x0086,DH-RSA-CAMELLIA256-SHA,TLS_DH_RSA_WITH_CAMELLIA_256_CBC_SHA,SSLv3,DH/RSA,DH,Camellia(256),SHA1,
0x0085,DH-DSS-CAMELLIA256-SHA,TLS_DH_DSS_WITH_CAMELLIA_256_CBC_SHA,SSLv3,DH/DSS,DH,Camellia(256),SHA1,
0xC019,AECDH-AES256-SHA,TLS_ECDH_anon_WITH_AES_256_CBC_SHA,SSLv3,ECDH,None,AES(256),SHA1,
0x00A7,ADH-AES256-GCM-SHA384,TLS_DH_anon_WITH_AES_256_GCM_SHA384,TLSv1.2,DH,None,AESGCM(256),AEAD,
0x006D,ADH-AES256-SHA256,TLS_DH_anon_WITH_AES_256_CBC_SHA256,TLSv1.2,DH,None,AES(256),SHA256,
0x003A,ADH-AES256-SHA,TLS_DH_anon_WITH_AES_256_CBC_SHA,SSLv3,DH,None,AES(256),SHA1,
0x00C5,ADH-CAMELLIA256-SHA256,TLS_DH_anon_WITH_CAMELLIA_256_CBC_SHA256,TLSv1.2,DH,None,Camellia(256),SHA256,
0x0089,ADH-CAMELLIA256-SHA,TLS_DH_anon_WITH_CAMELLIA_256_CBC_SHA,SSLv3,DH,None,Camellia(256),SHA1,
0x00AD,RSA-PSK-AES256-GCM-SHA384,TLS_RSA_PSK_WITH_AES_256_GCM_SHA384,TLSv1.2,RSAPSK,RSA,AESGCM(256),AEAD,
0x00AB,DHE-PSK-AES256-GCM-SHA384,TLS_DHE_PSK_WITH_AES_256_GCM_SHA384,TLSv1.2,DHEPSK,PSK,AESGCM(256),AEAD,
0xCCAE,RSA-PSK-CHACHA20-POLY1305,TLS_RSA_PSK_WITH_CHACHA20_POLY1305_SHA256,TLSv1.2,RSAPSK,RSA,ChaCha20(256),AEAD,
0xCCAD,DHE-PSK-CHACHA20-POLY1305,TLS_DHE_PSK_WITH_CHACHA20_POLY1305_SHA256,TLSv1.2,DHEPSK,PSK,ChaCha20(256),AEAD,
